full_date,date,weekday,time,mood,activities,note
6/05/2019,6-May,Monday,22:12,good,work | running | gaming | procrastinating | drawing | coffee,
6/05/2019,6-May,Monday,11:49,good,work | running | learning | coffee,
5/05/2019,5-May,Sunday,22:22,good,relax | gaming | learning | procrastinating | drawing | coffee,civ IV
5/05/2019,5-May,Sunday,9:22,good,,
4/05/2019,4-May,Saturday,21:31,good,relax | friends | gaming | drawing | coffee,
4/05/2019,4-May,Saturday,8:25,rad,friends | sex,
3/05/2019,3-May,Friday,23:29,good,work | friends | reading | gaming | procrastinating | coffee,
3/05/2019,3-May,Friday,8:10,good,reading | read news,
2/05/2019,2-May,Thursday,23:16,good,work | running | learning | coffee,
2/05/2019,2-May,Thursday,12:45,good,work | running | procrastinating | read news | coffee,
1/05/2019,1-May,Wednesday,21:37,good,work | relax | gaming | procrastinating | cycling | read news | coffee,some success job hunting
1/05/2019,1-May,Wednesday,8:47,good,procrastinating | cycling | read news,
30/04/2019,30-Apr,Tuesday,22:40,meh,work | running | gaming | procrastinating | coffee,"job rejection, science difficulties"
30/04/2019,30-Apr,Tuesday,9:13,good,running | gaming | procrastinating,
29/04/2019,29-Apr,Monday,22:47,meh,work | reading | gaming | procrastinating | coffee,
29/04/2019,29-Apr,Monday,8:53,meh,,
28/04/2019,28-Apr,Sunday,22:36,bad,,
19/04/2019,19-Apr,Friday,8:44,good,,moving
18/04/2019,18-Apr,Thursday,21:58,good,work | reading | gaming | cleaning | herpes | coffee,"moving, started playing horizon zero dawn"
18/04/2019,18-Apr,Thursday,8:32,good,,
17/04/2019,17-Apr,Wednesday,21:01,rad,work | running | movies | reading | gaming | cleaning | cooking | coffee,
17/04/2019,17-Apr,Wednesday,8:30,good,gaming,
16/04/2019,16-Apr,Tuesday,20:00,meh,,
16/04/2019,16-Apr,Tuesday,9:04,good,sex,
15/04/2019,15-Apr,Monday,22:43,good,work | reading | gaming | procrastinating | read news | coffee,
15/04/2019,15-Apr,Monday,8:10,good,work | reading | coffee,morning commute walk was nice
14/04/2019,14-Apr,Sunday,21:55,meh,reading | gaming | procrastinating | cycling | read news,
14/04/2019,14-Apr,Sunday,8:23,good,reading,
13/04/2019,13-Apr,Saturday,21:08,good,coffee,
13/04/2019,13-Apr,Saturday,8:24,good,gaming,
12/04/2019,12-Apr,Friday,21:20,good,reading | gaming | procrastinating | read news | coffee,reading creepy stories
12/04/2019,12-Apr,Friday,8:00,good,coffee,
11/04/2019,11-Apr,Thursday,21:00,meh,good meal,Simone stressed about moving
11/04/2019,11-Apr,Thursday,8:00,good,reading | good meal | coffee,
10/04/2019,10-Apr,Wednesday,21:01,good,work | running | reading,
10/04/2019,10-Apr,Wednesday,8:04,meh,reading,
9/04/2019,9-Apr,Tuesday,21:00,good,work | reading | gaming | good meal | cleaning | learning | cooking | coffee,
9/04/2019,9-Apr,Tuesday,8:45,good,,
9/04/2019,9-Apr,Tuesday,7:35,meh,reading | read news,prepping for move
8/04/2019,8-Apr,Monday,22:21,good,work | running | reading | gaming | coffee,
8/04/2019,8-Apr,Monday,8:00,good,reading | read news | coffee,
7/04/2019,7-Apr,Sunday,22:21,rad,work | friends | party | reading | gaming | good meal | learning | coffee,"36 crazyfists, worked on saimas paper"
7/04/2019,7-Apr,Sunday,8:48,good,reading,dealing with epub files
6/04/2019,6-Apr,Saturday,21:28,rad,friends | party | reading | gaming | coffee,
6/04/2019,6-Apr,Saturday,8:57,good,relax | reading | gaming,
5/04/2019,5-Apr,Friday,22:07,rad,work | friends | party | gaming | learning | coffee,
5/04/2019,5-Apr,Friday,8:00,good,reading,
4/04/2019,4-Apr,Thursday,23:16,rad,running | gaming,
4/04/2019,4-Apr,Thursday,18:55,good,work | cleaning | learning | cycling | read news | coffee,
